"rocket","company","location"
"VLS-1","AEB","VLS Pad, Alcântara Launch Center, Maranhão, Brazil"
"Juno I","AMBA","LC-26A, Cape Canaveral AFS, Florida, USA"
"Juno I","AMBA","LC-5, Cape Canaveral AFS, Florida, USA"
"Juno II","AMBA","LC-5, Cape Canaveral AFS, Florida, USA"
"Redstone Sparta","AMBA","LA-5B, RAAF Woomera Range Complex, Australia"
"Ariane 1","Arianespace","ELV-1 (SLV), Guiana Space Centre, French Guiana, France"
"Ariane 2","Arianespace","ELA-1, Guiana Space Centre, French Guiana, France"
"Ariane 2","Arianespace","ELA-2, Guiana Space Centre, French Guiana, France"
"Ariane 3","Arianespace","ELA-1, Guiana Space Centre, French Guiana, France"
"Ariane 3","Arianespace","ELA-2, Guiana Space Centre, French Guiana, France"
"Ariane 40","Arianespace","ELA-2, Guiana Space Centre, French Guiana, France"
"Ariane 42L","Arianespace","ELA-3, Guiana Space Centre, French Guiana, France"
"Ariane 42L","Arianespace","ELA-2, Guiana Space Centre, French Guiana, France"
"Ariane 42P","Arianespace","ELA-2, Guiana Space Centre, French Guiana, France"
"Ariane 44L","Arianespace","ELA-2, Guiana Space Centre, French Guiana, France"
"Ariane 44LP","Arianespace","ELA-2, Guiana Space Centre, French Guiana, France"
"Ariane 44P","Arianespace","ELA-2, Guiana Space Centre, French Guiana, France"
"Ariane 5 ECA","Arianespace","ELA-3, Guiana Space Centre, French Guiana, France"
"Ariane 5 ES","Arianespace","ELA-3, Guiana Space Centre, French Guiana, France"
"Ariane 5 G","Arianespace","ELA-3, Guiana Space Centre, French Guiana, France"
"Ariane 5 G+","Arianespace","ELA-3, Guiana Space Centre, French Guiana, France"
"Ariane 5 GS","Arianespace","ELA-3, Guiana Space Centre, French Guiana, France"
"Soyuz 2.1b/Fregat","Arianespace","Site 31/6, Baikonur Cosmodrome, Kazakhstan"
"Soyuz ST-A/Fregat","Arianespace","ELS, Guiana Space Centre, French Guiana, France"
